design,arm,rep,n_events,lag_set_m,Q_v,p_v,Q_z,p_z,acf_v_lag,acf_z_lag,reject_0.05_v,reject_0.05_z
D10,primary,43,68,1,0.42727111175872934,0.5133310190559558,0.010255673176326311,0.9193358940308612,0.07755069430069553,0.012014785208914795,False,False
D10,primary,43,68,2,0.44439523455897784,0.8007571052571377,0.17191330020884288,0.917634009696448,-0.015408936242904606,-0.047344179147920135,False,False
D10,primary,43,68,5,4.377374269045261,0.4964560128016904,2.28850150976359,0.8079542002035567,-0.178498536978718,-0.14909870507016834,False,False
D10,primary,43,68,10,5.9994999374235505,0.8153052558691994,5.448290781678213,0.85929387440789,-0.05046609654964363,0.07195034587448652,False,False
D10,primary,44,144,1,1.6502707091114088,0.19892209014277984,1.1556761478169848,0.282364077644651,-0.10594682356567098,-0.0886601414287682,False,False
D10,primary,44,144,2,1.6692212003054816,0.4340434649887408,1.1631353437640573,0.5590213172817136,0.011313493558121106,0.0070979429797359385,False,False
D10,primary,44,144,5,2.195320033439674,0.8215116730782717,3.529326353789844,0.6189548982546388,0.009637471659698008,0.0439761171316505,False,False
D10,primary,44,144,10,12.555372252219952,0.2496041896144947,8.902629302185195,0.5413687379292529,-0.013260814327673997,0.002356913675451206,False,False
D10,primary,45,107,1,0.3573937329025599,0.5499572644575155,1.5591461799433974,0.21179027973516718,0.056992966293667825,0.11903953241736365,False,False
D10,primary,45,107,2,0.3917719280534477,0.8221059789884233,3.1530477550790796,0.20669233875581638,0.01759264130566193,0.11978991634552535,False,False
D10,primary,45,107,5,4.642531950903201,0.4610425032119436,11.697305127999819,0.03917923645289556,0.04703723487442893,0.0625437393968116,False,True
D10,primary,45,107,10,11.48333108429859,0.32112117749449487,15.906918146811993,0.10232815851758814,-0.1646251673478065,-0.12546241856760365,False,False
D10,primary,46,63,1,0.14829592755085674,0.700169178832192,0.6366707015221622,0.4249189619328845,-0.04738419469351461,-0.09818074520385793,False,False
D10,primary,46,63,2,0.1535700029370981,0.9260889399661767,0.7659173406982491,0.6818410789574043,-0.008863620046701508,-0.04387807780407589,False,False
D10,primary,46,63,5,2.2811232554182883,0.8090353286265082,2.6857469348694982,0.7482975025909817,-0.15574550940836696,-0.16127884151979718,False,False
D10,primary,46,63,10,5.4862752647359665,0.856422275965524,6.289456037155097,0.7903864012552372,-0.10948162251593713,-0.1750142489393021,False,False
D10,primary,47,142,1,2.269386650107758,0.1319521151116061,0.32481541241156026,0.5687280282362122,-0.12509454907467432,-0.047326289083355254,False,False
D10,primary,47,142,2,3.590895923201058,0.16605305029326367,1.0560150469854137,0.5897789203987526,0.09512040857768753,0.07075490992834411,False,False
D10,primary,47,142,5,4.660247464540352,0.4587332051309183,2.056643407028875,0.8412531440326741,0.003322380711778477,-0.03446716341281585,False,False
D10,primary,47,142,10,6.9270470894499745,0.7323137436547371,3.5038832170808933,0.9669663634996033,-0.044562138036681874,0.034351468795093015,False,False
D10,primary,48,175,1,0.35869285259651307,0.5492330893760311,0.0012247988307655172,0.9720820325621753,0.044888007480331116,0.002623018466847637,False,False
D10,primary,48,175,2,1.8808687197521587,0.390458199144611,0.15355367693447275,0.9260964996622641,-0.092204010217426,-0.02916812522322363,False,False
D10,primary,48,175,5,2.842892941260754,0.7241916079947852,1.2503435076994973,0.9399573852936303,0.04035078568046553,0.03844593891190311,False,False
